"","msoa11nm","msoa11cd","dose","ex_deaths","unvax","pop","ex_deathrate"
"5231","Shiregreen South","E02001620","1st",4.3048205339911,2140,5631,76.4485976556757
"5232","Shirehampton & Avonmouth","E02003019","1st",6.61994813959462,3836,9368,70.6655437616847
"5233","Shiremoor North & South Wellfield","E02001744","1st",3.90429937866975,1611,6607,59.0933763988157
"5234","Shiremoor South & West Allotment","E02001748","1st",3.48882509549835,1999,7055,49.4518085825421
"5235","Shirley East","E02000218","1st",8.62153827635878,2521,5716,150.831670335178
"5236","Shirley East","E02002098","1st",9.45067570505605,2351,8451,111.829081825299
"5237","Shirley Heath","E02002103","1st",5.49376585762779,1300,5441,100.969782349344
"5238","Shirley South","E02003563","1st",6.57614068121617,2773,7072,92.9884146099571
"5239","Shirley Warren","E02003558","1st",7.87743238597489,2800,6560,120.082810761812
"5240","Shirley West","E02000219","1st",13.2931979271686,2147,7029,189.119333150784
"5241","Shirley West","E02006808","1st",3.71145269727741,1707,5587,66.4301538800324
"5242","Shobdon, Luston & Bodenham","E02002908","1st",7.9202163969472,1848,8025,98.6942853202143
"5243","Shoeburyness","E02003291","1st",11.2610730342441,2487,10084,111.672679831853
"5244","Sholing East","E02003574","1st",5.19087486566543,1558,6551,79.2379005596921
"5245","Sholing West","E02003578","1st",3.68232993041418,1479,5370,68.5722519630201
"5246","Shooters Hill","E02000332","1st",8.14259363035662,2460,6263,130.011075049603
"5247","Shoreditch","E02000371","1st",11.2017151848573,12733,17880,62.6494137855556
"5248","Shoreham Central & Beach","E02006538","1st",8.40691775805583,1897,7829,107.381757032262
"5249","Short Heath","E02001846","1st",9.17698746550053,3008,6918,132.653765040482
"5250","Short Heath East","E02002128","1st",3.20850593380955,1183,4659,68.8668369566335
"5251","Short Heath West","E02002129","1st",4.12335129865937,1324,5160,79.9099088887475
"5252","Shortlands Bromley Road","E02000137","1st",10.6917503707847,2373,7260,147.269288853784
"5253","Shortlanesend, Chacewater & Carnon Downs","E02003911","1st",7.3476386611833,1707,8190,89.7147577678058
"5254","Shotley Peninsula","E02006237","1st",4.18332247082621,1466,6595,63.4317281398971
"5255","Shotton & Haswell","E02004326","1st",3.16833255640097,1714,5758,55.024879409534
"5256","Shrewsbury Copthorne & Bowbrook","E02006034","1st",6.65211138411316,2210,8965,74.2009077982506
"5257","Shrewsbury Greenfields","E02006031","1st",5.59012997436484,2215,6837,81.7629073331116
"5258","Shrewsbury Harlescott & Sundorne","E02006030","1st",3.43194171303805,2110,6769,50.7008673812683
"5259","Shrewsbury Harlescott Grange","E02006029","1st",4.13207306505428,2211,6682,61.8388665826741
"5260","Shrewsbury London Road","E02006035","1st",2.14529095177818,974,5087,42.1720257868719
"5261","Shrewsbury Meole & Kingsland","E02006037","1st",5.57246449856563,2577,8922,62.4575711563061
"5262","Shrewsbury Monkmoor","E02006032","1st",3.90468930305883,2103,7452,52.3978704114175
"5263","Shrewsbury Sutton & Coleham","E02006036","1st",3.93872331041159,1437,5781,68.1322143299012
"5264","Shrewsbury Town","E02006033","1st",7.38502158732655,2334,7754,95.2414442523414
"5265","Shrivenham, Watchfield & Uffington","E02006886","1st",8.29503748381992,3505,12317,67.3462489552644
"5266","Shrub End","E02004520","1st",5.7370421434726,2503,6671,85.999732326077
"5267","Shurdington, Staverton & Witcombe","E02004673","1st",4.15715657396903,1486,6350,65.4670326609297
"5268","Sibford, Hook Norton & Milcombe","E02005929","1st",4.79092926217245,1653,6538,73.2782083538154
"5269","Sidbury, Offwell & Beer","E02004137","1st",7.24562416086152,945,4850,149.394312595083
"5270","Sidcup East","E02000091","1st",7.60302775921682,2309,8493,89.5211086685131
"5271","Sidcup West","E02000090","1st",6.32263813085672,2368,7915,79.88171990975
"5272","Sidmouth Sidford","E02004139","1st",5.61054039331227,1195,6099,91.9911525383223
"5273","Sidmouth Town","E02004140","1st",8.96387564849561,841,4894,183.160515907144
"5274","Sidney Park","E02002730","1st",4.76142588091751,2553,5891,80.825426598498
"5275","Sileby","E02005357","1st",2.82601809200235,1734,6803,41.5407627811605
"5276","Silkstone, Hoylandswaine & Cawthorne","E02001524","1st",3.62134135838476,914,5443,66.5320844825419
"5277","Silksworth","E02001817","1st",2.97672508773402,1580,5701,52.2140867871253
"5278","Silver End & Stisted","E02004457","1st",6.10386744498849,2678,8621,70.8023134785812
"5279","Silverdale & Keele","E02006169","1st",3.71502221579559,4161,8094,45.8984706671063
"5280","Silverhill","E02004373","1st",6.28677905157236,2270,7486,83.9804842582468
"5281","Silverstone & Syresham & Helmdon","E02005687","1st",3.89385737394826,1515,5859,66.4594192515491
"5282","Silwood & Pepys","E02000653","1st",11.600625391816,7452,12454,93.1477869906532
"5283","Simonside","E02001779","1st",3.87081846462842,1438,4698,82.3929004816607
"5284","Sinfin","E02002824","1st",12.0469893624666,3377,8784,137.146964508954
"5285","Singlewell","E02005065","1st",5.70032491674397,2572,6721,84.8136425642608
"5286","Sittingbourne Central & Milton Regis","E02005124","1st",7.04388292291558,2898,7149,98.5296254429372
"5287","Sittingbourne East","E02005125","1st",4.27328042750008,2355,6690,63.8756416666678
"5288","Sittingbourne South, Bapchild & Bredgar","E02005127","1st",4.20385016517743,1916,7552,55.6653888397435
"5289","Sittingbourne West","E02005126","1st",4.43755095039016,1797,6697,66.2617731878477
"5290","Skegness North","E02005435","1st",7.93859283985437,1476,7069,112.301497239417
"5291","Skegness South","E02005438","1st",7.77302280226402,1435,6103,127.363965300082
"5292","Skegness Town","E02005437","1st",8.05094997898702,1912,5950,135.310083680454
"5293","Skellingthorpe, Witham & Bassingham","E02005455","1st",5.07934048365803,2763,11971,42.4303774426366
"5294","Skelmersdale Ashurst","E02005312","1st",6.07511788950291,1472,5457,111.327064128695
"5295","Skelmersdale Central","E02005313","1st",7.44755941955397,2848,7374,100.997551119528
"5296","Skelmersdale East","E02005316","1st",4.27197425285217,2013,5402,79.0813449250679
"5297","Skelmersdale South East","E02005317","1st",4.93499638363381,2545,6004,82.1951429652533
"5298","Skelmersdale West","E02005314","1st",5.47264255881453,1661,5492,99.6475338458581
"5299","Skelton","E02002526","1st",3.35127348384611,1418,6479,51.7251656713399
"5300","Skerton & Vale","E02005231","1st",6.12177572400215,2178,7081,86.453547860502
"5301","Skipsea, Beeford & Brandesburton","E02002693","1st",6.06270298645228,1363,6483,93.5169363944514
"5302","Skipton North & Barden Fell","E02005745","1st",3.49902052837134,860,4729,73.9907068803413
"5303","Skipton South","E02005747","1st",5.35238552013155,1906,6182,86.5801604679966
"5304","Skipton Town & East","E02005746","1st",5.25068200234386,1293,5941,88.3804410426503
"5305","Skirbeck","E02005420","1st",10.2674693181207,3253,7899,129.984419776183
"5306","Skircoat Green","E02002264","1st",5.47028799504349,1467,6061,90.2538854156656
"5307","Slade Green & Crayford Marshes","E02000072","1st",12.0653585398606,4324,9959,121.150301635311
"5308","Slaithwaite & Linthwaite","E02002319","1st",4.195256956301,1537,5822,72.0586904208348
"5309","Sleaford East","E02005462","1st",7.40536597331118,2088,8094,91.4920431592683
"5310","Sleaford West","E02005463","1st",4.9492739160742,1817,8043,61.5351723992814
"5311","Small Heath Park","E02001896","1st",20.8336439135005,6015,9302,223.969511003016
"5312","Smallfield & Felbridge","E02006438","1st",7.57618035790628,1894,7668,98.802560744735
"5313","Smallshaw","E02001234","1st",8.56672170388854,2612,6751,126.895596265569
"5314","Smallthorne & Sneyd Green","E02002958","1st",5.42162680655549,1991,6889,78.6997649376614
"5315","Smethwick East","E02002068","1st",27.1177883260277,7812,12938,209.597992935753
"5316","Smethwick North & West","E02002065","1st",27.1904517380842,7225,13343,203.780647066508
"5317","Smethwick South","E02002070","1st",21.3826128729332,5044,9361,228.422314634475
"5318","Smith's Wood North","E02002082","1st",3.9818482296994,1725,4872,81.7292329577052
"5319","Smith's Wood South","E02002084","1st",5.44341015731615,1893,5488,99.1875028665479
"5320","Smithills","E02000991","1st",5.24176602316273,1764,6810,76.9716009274996
"5321","Snaith","E02002725","1st",2.75271234482534,1340,5939,46.3497616572712
"5322","Snaresbrook","E02000764","1st",14.5266740324183,3496,11179,129.946095647359
"5323","Snatchill","E02006863","1st",8.2034574480718,4594,9644,85.0628105357922
"5324","Sneinton","E02002896","1st",12.1002691386165,5310,9457,127.950397997425
"5325","Snodland","E02005150","1st",6.24298407836633,3026,9367,66.6487037297569
"5326","Soham","E02003737","1st",9.25113371593368,6586,14808,62.4738905722155
